path_idx	node_id	LCA	label	event	count	J_A_B	C_A	C_A_B	C_B	M_B_A	m_1	m_2	m_3	m_4
20	10	15	A=[a1,a1,b1,b1]	C_A	1	1	6	0	0	0	2	2	0	0
20	13	15	A=[a1,a1,b1+b1]	C_A	2	1	3	0	0	0	0	2	0	1
20	15	15	A=[a1,a1+b1+b1]	C_A	1	1	1	0	0	0	0	2	0	0
21	1	16	A=[a1,a1];B=[b1,b1]	J_A_B	1	1	1	0	1	2	2	2	0	0
21	23	16	A_B=[a1,a1,b1,b1]	C_A_B	1	0	0	6	0	0	2	2	0	0
21	22	16	A_B=[a1+a1,b1,b1]	C_A_B	2	0	0	3	0	0	2	0	0	1
21	16	16	A_B=[a1+a1+b1,b1]	C_A_B	1	0	0	1	0	0	2	0	0	0
22	1	16	A=[a1,a1];B=[b1,b1]	J_A_B	1	1	1	0	1	2	2	2	0	0
22	23	16	A_B=[a1,a1,b1,b1]	C_A_B	1	0	0	6	0	0	2	2	0	0
22	17	16	A_B=[a1+a1,b1,b1]	C_A_B	1	0	0	3	0	0	2	0	0	1
22	16	16	A_B=[a1+a1,b1+b1]	C_A_B	1	0	0	1	0	0	0	0	0	2
23	1	16	A=[a1,a1];B=[b1,b1]	J_A_B	1	1	1	0	1	2	2	2	0	0
23	18	16	A_B=[a1,a1,b1,b1]	C_A_B	4	0	0	6	0	0	2	2	0	0
23	22	16	A_B=[a1,a1+b1,b1]	C_A_B	1	0	0	3	0	0	1	1	1	0
23	16	16	A_B=[a1+a1+b1,b1]	C_A_B	1	0	0	1	0	0	2	0	0	0
24	1	16	A=[a1,a1];B=[b1,b1]	J_A_B	1	1	1	0	1	2	2	2	0	0
